N;King
1;  Карл II Лысый (843—877), император с 875
2;	Людовик II Заика (877—879)
3; Людовик III (879—882)
4;Карломан II (879—884), соправитель Людовика III
5;Карл III Толстый (884—888), король Восточно-Франкского королевства (876—887), император с 881
6;Эд I (888—898), из династии Робертинов, граф Парижский
7;" 	Гвидо Сполетский (888—888), титулярный король Западно-Франкского королевства (февраль 888—октябрь 888), император с 891, из династии Гвидонидов; отрекся."
8;Карл III Простоватый (898—922)
9;	Роберт I (922—923), из династии Робертинов
10;Рауль I (923—936), из династии Бозонидов
11;  Людовик IV (936—954)
12;Лотарь (954—986)
13;"  Карл Нижнелотарингский (978—978), коронован в Лане епископом Меца; наследник Каролингов"
14;Людовик V Ленивый (986—987)
